fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammdurchm,longitude,latitude
"1468","2673","20","Quercus robur, Stieleiche",Liegenschaftsservice,13,,Bäume - Liegenschaftsservice,"89",11.6244280828,52.1306362526
"27614","34","20","Quercus robur, Stieleiche",Liegenschaftsservice,18,"1930",Bäume - Liegenschaftsservice,"61",11.6222234066,52.1435822598
"29929",,"18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"45",11.6081123309,52.1215941196
"41622","1537","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"40",11.5887676762,52.0990182631
"41623","1538","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.5889125822,52.0990166080
"41624","1539","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"40",11.5890573839,52.0990181925
"41625","1540","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5891914146,52.0990153371
"41626","1541","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"37",11.5893541598,52.0990115807
"41627","1542","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"37",11.5894989981,52.0990087573
"41628","1543","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"54",11.5895457024,52.0990184325
"41629","1544","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"27",11.5896609359,52.0990061873
"41630","1545","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"40",11.5897823246,52.0990245629
"41631","1546","16","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"48",11.5899364340,52.0990254921
"41632","1547","16","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"32",11.5900309633,52.0990213457
"41633","1549","10","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"81",11.5902554394,52.0990270227
"41634","1550","17","Betula pendula ""Tristis"", Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"43",11.5902953574,52.0990279438
"41635","1551","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"39",11.5903898817,52.0990136351
