fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"26069","34","20","Quercus robur, Stieleiche",Liegenschaftsservice,18,"1930",Bäume - Liegenschaftsservice,190,11.6222234066,52.1435822598
"28496",,"18","Robinia pseudoacacia, Robinie",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,141,11.6081304565,52.1215762719
"39946","1537","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,126,11.5887676762,52.0990182631
"39947","1538","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,116,11.5889125822,52.0990166080
"39948","1539","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,125,11.5890573839,52.0990181925
"39949","1540","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,117,11.5891914146,52.0990153371
"39950","1541","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,115,11.5893541598,52.0990115807
"39951","1542","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,115,11.5894989981,52.0990087573
"39952","1543","9","Juglans regia, Walnuss",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,169,11.5895457024,52.0990184325
"39953","1544","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,84,11.5896609359,52.0990061873
"39954","1545","12","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,124,11.5897823246,52.0990245629
"39955","1549","10","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,253,11.5902554394,52.0990270227
"39956","1551","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,121,11.5903898817,52.0990136351
"39957","1552","20","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,261,11.5904877748,52.0990498831
"39958","1553","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,130,11.5905147504,52.0990164654
"39959","1554","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,259,11.5906261963,52.0990446813
"39960","1555","12","Ailanthus altissima, Götterbaum",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,198,11.5906303845,52.0990136531
"39961","1556","13","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,158,11.5906792136,52.0990473826
"39973","1546","16","Betula pendula 'Tristis', Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,151,11.5899364340,52.0990254921
"39974","1548","17","Salix alba 'Tristis', Trauerweide",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,323,11.5901185389,52.0990282337
"39975","1550","17","Betula pendula 'Tristis', Hänge-Birke",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,135,11.5902953574,52.0990279438
"39976","1557","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,86,11.5906979070,52.0990474212
"39977","1558","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,166,11.5907257516,52.0990491472
"39978","1559","10","Ailanthus altissima, Götterbaum",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,125,11.5907407944,52.0990164414
"39979","1560","8","Betula pendula, Sandbirke",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,50,11.5907369089,52.0990098720
"39980","1561","16","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,126,11.5907563256,52.0990475756
"39981","1562","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,148,11.5908096399,52.0990478421
"39982","1563","18","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,153,11.5908308177,52.0990479160
"39983","1564","22","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,210,11.5908495111,52.0990479546
"39984","1565","8","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,103,11.5909269466,52.0989983188
"39985","1566","15","Salix alba, Baum-Weide - Kopf-Weide",Liegenschaftsservice,14,,Bäume - Liegenschaftsservice,484,11.5910807689,52.0990446677
"39986","1567","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,118,11.5912710828,52.0990051396
"39987","1568","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,131,11.5914002120,52.0989958245
"39988","1569","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,117,11.5915358571,52.0989880747
"39989","1570","10","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,107,11.5916780752,52.0989803600
"43304","845","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,87,11.5971888129,52.0856641008
"43305","846","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,98,11.5971577849,52.0856652345
"43306","834","11","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,89,11.5971479747,52.0856622132
"43307","835","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,89,11.5971339892,52.0856652195
"43308","836","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,204,11.5969837996,52.0856606165
"43309","837","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,79,11.5969059457,52.0856623327
"43314","826","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,100,11.5971726188,52.0856592418
"43315","838","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,74,11.5968935949,52.0856633244
"43316","839","15","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,94,11.5968608272,52.0856596401
"43317","840","16","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,144,11.5968049096,52.0856570057
"43318","841","14","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,67,11.5967622754,52.0856593843
"43319","842","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,68,11.5966661967,52.0856564660
"43320","843","13","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,179,11.5966474518,52.0856579583
"43321","844","12","Fraxinus excelsior, Gemeine Esche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,84,11.5966105138,52.0856578732
"56783","1","7","Prunus avium, Vogelkirsche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,260,11.5471922506,52.0819224122
"56973","2","7","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,192,11.5470807242,52.0817480211
