fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
1,  34 - Lieg34,"Quercus robur, Stieleiche",190,20,18,1930,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6222316800147,52.1435785324342
2,  2747 - Lieg0,"Robinia pseudoacacia, Robinie",141,18,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6081304564754,52.1215762719383
3,  1536 - Lieg1537,"Fraxinus excelsior, Gemeine Esche",139,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5887676761681,52.0990182631182
4,  1537 - Lieg1538,"Fraxinus excelsior, Gemeine Esche",129,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5889125821983,52.0990166079906
5,  1538 - Lieg1539,"Fraxinus excelsior, Gemeine Esche",135,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5890573838648,52.0990181924775
6,  1539 - Lieg1540,"Fraxinus excelsior, Gemeine Esche",131,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5891914145677,52.0990153370953
7,  1540 - Lieg1541,"Fraxinus excelsior, Gemeine Esche",127,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5893541597945,52.0990115807171
8,  1541 - Lieg1542,"Fraxinus excelsior, Gemeine Esche",125,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5894989980974,52.0990087572585
9,  1542 - Lieg1543,"Juglans regia, Walnuss",169,9,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5895459266769,52.0990168557152
10,  1543 - Lieg1544,"Fraxinus excelsior, Gemeine Esche",84,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5896609358923,52.0990061872988
11,  1543 - Lieg1545,"Acer pseudoplatanus, Berg-Ahorn",130,12,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5897910467408,52.0990178831132
12,  1544 - Lieg1546,"Betula pendula 'Tristis', Hänge-Birke",133,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5899136155598,52.0990311748551
13,  1545 - Lieg1547,"Betula pendula 'Tristis', Hänge-Birke",98,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5900004331257,52.0990132804935
14,  1546 - Lieg1548,"Salix alba 'Tristis', Trauerweide",330,17,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5900565542068,52.0990169655571
15,  1547 - Lieg1549,"Acer pseudoplatanus, Berg-Ahorn",253,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5901809036974,52.0990265288141
16,  1548 - Lieg1550,"Betula pendula 'Tristis', Hänge-Birke",139,17,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5902463549176,52.0990189414852
17,  1549 - Lieg1551,"Fraxinus excelsior, Gemeine Esche",133,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5903898817425,52.0990136350733
18,  1550 - Lieg1552,"Salix alba, Baum-Weide - Kopf-Weide",261,20,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5905013389673,52.0990474593611
19,  1551 - Lieg1553,"Fraxinus excelsior, Gemeine Esche",135,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5905277443925,52.0990164440203
20,  1552 - Lieg1554,"Salix alba, Baum-Weide - Kopf-Weide",259,18,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906595360481,52.0990467478352
21,  1553 - Lieg1555,"Ailanthus altissima, Götterbaum",222,12,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906596258463,52.0990052438976
22,  1554 - Lieg1556,"Salix alba, Baum-Weide - Kopf-Weide",159,13,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906792136386,52.0990473825994
23,  1555 - Lieg1557,"Salix alba, Baum-Weide - Kopf-Weide",94,18,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5906979069794,52.0990474212194
24,  1556 - Lieg1558,"Salix alba, Baum-Weide - Kopf-Weide",166,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907257516426,52.0990491471549
25,  1557 - Lieg1559,"Ailanthus altissima, Götterbaum",135,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907366179726,52.0989938275946
26,  1558 - Lieg1560,"Betula pendula, Sandbirke",55,8,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907288900548,52.0989953373063
27,  1559 - Lieg1561,"Salix alba, Baum-Weide - Kopf-Weide",126,16,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907563256213,52.0990475755688
28,  1560 - Lieg1562,"Salix alba, Baum-Weide - Kopf-Weide",148,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907725620059,52.099041803196
29,  1561 - Lieg1563,"Salix alba, Baum-Weide - Kopf-Weide",153,18,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5907865566969,52.099042110311
30,  1562 - Lieg1564,"Salix alba, Baum-Weide - Kopf-Weide",221,22,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5908023319411,52.099038689208
31,  1563 - Lieg1565,"Fraxinus excelsior, Gemeine Esche",114,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5909269465991,52.0989983188257
32,  1564 - Lieg1566,"Salix alba, Baum-Weide - Kopf-Weide",484,15,14,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.5910655960873,52.0990292108905
